Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment;;;;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];;;;;;;;;;;;;;
Electricity;Electricity;Nuclear; AMMONIA_STORAGE ;0.01;0.000397;0;20;1;0;1;0;1.00E+15;;AMMONIA_STORAGE;; AMMONIA_STORAGE ;0.01;0.000397;0;20;1;0;1;0;1.00E+15;
Electricity;Electricity;Combined cycle gas turbine; AMMONIA_TO_H2 ;647.24;59.72777924;0;25;0.86;0;1;0;1.00E+15;;AMMONIA_TO_H2;; AMMONIA_TO_H2 ;647.24;59.72777924;0;25;0.86;0;1;0;1.00E+15;
Electricity;Electricity;Amonia combined cycle gas turbine; ATM_CCS ;5038.18;125.064;0;40;1;0;1;0;1.00E+15;;ATM_CCS;; ATM_CCS ;5038.18;125.064;0;40;1;0;1;0;1.00E+15;
Electricity;Electricity;Ultra-supercritical coal power plant; BATT_LI ;205.1;0.317096523;61.3;15;1;0;1;0;1.00E+15;;BATT_LI;; BATT_LI ;205.1;0.317096523;61.3;15;1;0;1;0;1.00E+15;
Electricity;Electricity;Intagrated gasification combined cycle with coal; BEV_BATT ;0;0;0;1;1;0;1;0;1.00E+15;;BEV_BATT;; BEV_BATT ;0;0;0;1;1;0;1;0;1.00E+15;
Electricity;Electricity;Photovoltaic; BIO_HYDROLYSIS ;1512.45;103.1196072;0;15;0.85;0;1;0;1.00E+15;;BIO_HYDROLYSIS;; BIO_HYDROLYSIS ;1512.45;103.1196072;0;15;0.85;0;1;0;1.00E+15;
Electricity;Electricity;Wind onshore; BIOMASS_TO_HVC ;1394.4;41.6;0;20;1;0;1;0;1.00E+15;;BIOMASS_TO_METHANOL;; BIOMASS_TO_METHANOL ;2016;30.8;0;20;1;0;1;0;1.00E+15;
Electricity;Electricity;Wind offshore; BIOMASS_TO_METHANOL ;2016;30.8;0;20;1;0;1;0;1.00E+15;;BIOMETHANATION;; BIOMETHANATION ;936.83;12.97727273;0;20;0.85;0;1;0;1.00E+15;
Electricity;Electricity;Hydro river; BIOMETHANATION ;936.83;12.97727273;0;20;0.85;0;1;0;1.00E+15;;BOAT_FREIGHT_DIESEL;; BOAT_FREIGHT_DIESEL ;78.01;3.819444444;0;40;0.114155251;0;1;0;1.00E+15;
Electricity;Electricity;Geothermal power plant; BOAT_FREIGHT_DIESEL ;78.01;3.819444444;0;40;0.114155251;0;1;0;1.00E+15;;BOAT_FREIGHT_METHANOL;; BOAT_FREIGHT_METHANOL ;78.01;3.819444444;0;40;0.114155251;0;1;0;1.00E+15;
Heat;Heat high temperature;Cogeneration gas (industry); BOAT_FREIGHT_METHANOL ;78.01;3.819444444;0;40;0.114155251;0;1;0;1.00E+15;;BOAT_FREIGHT_NG;; BOAT_FREIGHT_NG ;77.71;3.819444444;0;40;0.114155251;0;1;0;1.00E+15;
Heat;Heat high temperature;Cogeneration wood (industry); BOAT_FREIGHT_NG ;77.71;3.819444444;0;40;0.114155251;0;1;0;1.00E+15;;BUS_COACH_CNG_STOICH;; BUS_COACH_CNG_STOICH ;621.67;30.55555556;0;15;0.296803653;0;1;0;1.00E+15;
Heat;Heat high temperature;Cogeneration waste (industry); BUS_COACH_CNG_STOICH ;621.67;30.55555556;0;15;0.296803653;0;1;0;1.00E+15;;BUS_COACH_DIESEL;; BUS_COACH_DIESEL ;624.12;30.55555556;0;15;0.296803653;0;1;0;1.00E+15;
Heat;Heat high temperature;Boiler gas (industry); BUS_COACH_DIESEL ;624.12;30.55555556;0;15;0.296803653;0;1;0;1.00E+15;;BUS_COACH_FC_HYBRIDH2;; BUS_COACH_FC_HYBRIDH2 ;1034.21;31.25;0;15;0.296803653;0;1;0;1.00E+15;
Heat;Heat high temperature;Boiler wood (industry); BUS_COACH_FC_HYBRIDH2 ;1034.21;31.25;0;15;0.296803653;0;1;0;1.00E+15;;BUS_COACH_ELECTRIC;;;;;;;;;;;;
Heat;Heat high temperature;Boiler oil (industry); BUS_COACH_HYDIESEL ;850.07;33.33333333;0;15;0.296803653;0;1;0;1.00E+15;;BUS_COACH_HYDIESEL;; BUS_COACH_HYDIESEL ;850.07;33.33333333;0;15;0.296803653;0;1;0;1.00E+15;
Heat;Heat high temperature;Boiler coal (industry); CAR_BEV ;418.42;10;0;10;0.051369863;0;1;0;1.00E+15;;CAR_BEV;; CAR_BEV ;418.42;10;0;10;0.051369863;0;1;0;1.00E+15;
Heat;Heat high temperature;Boiler waste (industry); CAR_DIESEL ;443.7;24;0;10;0.051369863;0;1;0;1.00E+15;;CAR_DIESEL;; CAR_DIESEL ;443.7;24;0;10;0.051369863;0;1;0;1.00E+15;
Heat;Heat high temperature;Electrical resistors (industry); CAR_FUEL_CELL ;590.94;10;0;10;0.051369863;0;1;0;1.00E+15;;CAR_FUEL_CELL;; CAR_FUEL_CELL ;590.94;10;0;10;0.051369863;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Heat pump (DHN); CAR_GASOLINE ;429.23;24;0;10;0.051369863;0;1;0;1.00E+15;;CAR_GASOLINE;; CAR_GASOLINE ;429.23;24;0;10;0.051369863;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Cogeneration gas (DHN); CAR_HEV ;438.04;34;0;10;0.051369863;0;1;0;1.00E+15;;CAR_HEV;; CAR_HEV ;438.04;34;0;10;0.051369863;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Cogeneration wood (DHN); CAR_METHANOL ;429.23;24;0;10;0.051369863;0;1;0;1.00E+15;;CAR_METHANOL;; CAR_METHANOL ;429.23;24;0;10;0.051369863;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Cogeneration waste (DHN); CAR_NG ;436.8;24;0;10;0.051369863;0;1;0;1.00E+15;;CAR_NG;; CAR_NG ;436.8;24;0;10;0.051369863;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Cogeneration wet biomass (DHN); CAR_PHEV ;458.59;34;0;10;0.051369863;0;1;0;1.00E+15;;CAR_PHEV;; CAR_PHEV ;458.59;34;0;10;0.051369863;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Cogeneration hydrolysis (DHN); CCGT ;757.91;19.19545398;183.79;25;0.961538462;0;1;0;1.00E+15;;CCGT;; CCGT ;757.91;19.19545398;183.79;25;0.961538462;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Boiler gas (DHN); CCGT_AMMONIA ;757.91;19.19545398;183.79;25;0.625;0;1;0;1.00E+15;;CCGT_AMMONIA;; CCGT_AMMONIA ;757.91;19.19545398;183.79;25;0.625;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Boiler wood (DHN); CO2_STORAGE ;49.5;0.495;0;30;1;0;1;0;1.00E+15;;CO2_STORAGE;; CO2_STORAGE ;49.5;0.495;0;30;1;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Boiler oil (DHN); COAL_IGCC ;3175.25;47.36761023;331.6;35;0.856;0;1;0;0;;COAL_IGCC;; COAL_IGCC ;3175.25;47.36761023;331.6;35;0.856;0;1;0;0;
Heat;Heat low temperature centralised;Geothermal (DHN); COAL_US ;2461.99;28.74498941;331.6;35;0.868;0;1;0;0;;COAL_US;; COAL_US ;2461.99;28.74498941;331.6;35;0.868;0;1;0;0;
Heat;Heat low temperature centralised;Solar thermal (DHN); DEC_ADVCOGEN_GAS ;6182.43;115.2176319;2193.45;20;1;0;1;0;1.00E+15;;DEC_ADVCOGEN_GAS;; DEC_ADVCOGEN_GAS ;6182.43;115.2176319;2193.45;20;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Electrical heat pump (decentralised); DEC_ADVCOGEN_H2 ;6182.43;115.2176319;2193.45;20;1;0;1;0;1.00E+15;;DEC_ADVCOGEN_H2;; DEC_ADVCOGEN_H2 ;6182.43;115.2176319;2193.45;20;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Thermal heat pump gas (decentralised); DEC_BOILER_GAS ;158.54;4.756999719;21.09;17;1;0;1;0;1.00E+15;;DEC_BOILER_GAS;; DEC_BOILER_GAS ;158.54;4.756999719;21.09;17;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Cogeneration gas (decentralised); DEC_BOILER_OIL ;142.38;8.54012548;21.09;17;1;0;1;0;1.00E+15;;DEC_BOILER_OIL;; DEC_BOILER_OIL ;142.38;8.54012548;21.09;17;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Cogeneration oil (decentralised); DEC_BOILER_WOOD ;462.44;16.18129038;21.09;17;1;0;1;0;1.00E+15;;DEC_BOILER_WOOD;; DEC_BOILER_WOOD ;462.44;16.18129038;21.09;17;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised); DEC_COGEN_GAS ;1342.54;86.29723587;1024.32;20;1;0;1;0;1.00E+15;;DEC_COGEN_GAS;; DEC_COGEN_GAS ;1342.54;86.29723587;1024.32;20;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised); DEC_COGEN_OIL ;1244.84;76.37610774;1024.32;20;1;0;1;0;1.00E+15;;DEC_COGEN_OIL;; DEC_COGEN_OIL ;1244.84;76.37610774;1024.32;20;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Bioler gas (decentralised); DEC_DIRECT_ELEC ;38.52;0.168387891;1.47;15;1;0;1;0;1.00E+15;;DEC_DIRECT_ELEC;; DEC_DIRECT_ELEC ;38.52;0.168387891;1.47;15;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Boiler wood (decentralised); DEC_HP_ELEC ;466.37;19.44510135;164.89;18;1;0;1;0;1.00E+15;;DEC_HP_ELEC;; DEC_HP_ELEC ;466.37;19.44510135;164.89;18;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Boiler oil (decentralised); DEC_SOLAR ;698.82;7.753534975;221.22;20;1;0;1;0;1.00E+15;;DEC_SOLAR;; DEC_SOLAR ;698.82;7.753534975;221.22;20;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Solar thermal (decentralised); DEC_THHP_GAS ;299.21;8.745105633;381.93;20;1;0;1;0;1.00E+15;;DEC_THHP_GAS;; DEC_THHP_GAS ;299.21;8.745105633;381.93;20;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Direct electrical heaters (decentralised); DHN ;825.88;0;0;60;1;0;1;0;1.00E+15;;DHN;; DHN ;825.88;0;0;60;1;0;1;0;1.00E+15;
Mobility;Passenger public;Tram or metro; DHN_BOILER_GAS ;58.89;1.179885757;12.32;17;0.95;0;1;0;1.00E+15;;DHN_BOILER_GAS;; DHN_BOILER_GAS ;58.89;1.179885757;12.32;17;0.95;0;1;0;1.00E+15;
Mobility;Passenger public;Bus diesel; DHN_BOILER_OIL ;54.86;1.179885757;12.32;17;0.95;0;1;0;1.00E+15;;DHN_BOILER_OIL;; DHN_BOILER_OIL ;54.86;1.179885757;12.32;17;0.95;0;1;0;1.00E+15;
Mobility;Passenger public;Bus diesel hybrid; DHN_BOILER_WOOD ;115.18;2.303586478;28.87;17;0.9;0;1;0;1.00E+15;;DHN_BOILER_WOOD;; DHN_BOILER_WOOD ;115.18;2.303586478;28.87;17;0.9;0;1;0;1.00E+15;
Mobility;Passenger public;Bus gas; DHN_COGEN_BIO_HYDROLYSIS ;4325.88;211.3782829;647.8;15;0.85;0;1;0;1.00E+15;;DHN_COGEN_BIO_HYDROLYSIS;; DHN_COGEN_BIO_HYDROLYSIS ;4325.88;211.3782829;647.8;15;0.85;0;1;0;1.00E+15;
Mobility;Passenger public;Bus fuel cell (H2); DHN_COGEN_GAS ;1196.14;34.97263108;490.88;25;0.85;0;1;0;1.00E+15;;DHN_COGEN_GAS;; DHN_COGEN_GAS ;1196.14;34.97263108;490.88;25;0.85;0;1;0;1.00E+15;
Mobility;Passenger public;Train (passenger); DHN_COGEN_WASTE ;2744.24;101.1669784;647.82;25;0.85;0;1;0;1.00E+15;;DHN_COGEN_WASTE;; DHN_COGEN_WASTE ;2744.24;101.1669784;647.82;25;0.85;0;1;0;1.00E+15;
Mobility;Passenger private;Car gasoline; DHN_COGEN_WET_BIOMASS ;1310.52;106.6555347;1024;25;0.75;0;1;0;1.00E+15;;DHN_COGEN_WET_BIOMASS;; DHN_COGEN_WET_BIOMASS ;1310.52;106.6555347;1024;25;0.75;0;1;0;1.00E+15;
Mobility;Passenger private;Car diesel; DHN_COGEN_WOOD ;1030.52;37.72995429;165.33;25;0.85;0;1;0;1.00E+15;;DHN_COGEN_WOOD;; DHN_COGEN_WOOD ;1030.52;37.72995429;165.33;25;0.85;0;1;0;1.00E+15;
Mobility;Passenger private;Car gas; DHN_DEEP_GEO ;1455.22;54.52352941;808.76;30;0.85;0;1;0;0;;DHN_DEEP_GEO;; DHN_DEEP_GEO ;1455.22;54.52352941;808.76;30;0.85;0;1;0;0;
Mobility;Passenger private;Car methanol; DHN_HP_ELEC ;326.77;11.08059378;174.79;25;0.95;0;1;0;1.00E+15;;DHN_HP_ELEC;; DHN_HP_ELEC ;326.77;11.08059378;174.79;25;0.95;0;1;0;1.00E+15;
Mobility;Passenger private;Car hybrid (gasoline); DHN_SOLAR ;351.8;0.414958333;221.22;30;1;0;1;0;1.00E+15;;DHN_SOLAR;; DHN_SOLAR ;351.8;0.414958333;221.22;30;1;0;1;0;1.00E+15;
